49/146/3/c|Bacardi+Grimmy||cCS,cCA,cAC
51/145/3/c|Bacardi||
53/143/8/c|Grimmy||
53/144/3/c|Grimmy||
57/138/8/c|Grimmy||
357/150/750|Bacardi|https://i.imgur.com/8Bm8RGJ.gif|CS,CA
358/148/753|Bacardi|https://i.imgur.com/PHe62Mi.gif|
428/150/135|Bacardi||
865/148/22|Programmatic||
1006/137/4|Programmatic||
1006/143/3|Programmatic|https://i.imgur.com/EWNJjQd.gif|AC
1073/127/10|Bacardi||
1744/123/5|Théophile||
1878/106/3|Programmatic||
2297/87/3|Théophile|https://i.imgur.com/2YwVbFb.gif|
4004/47/3|aisje||
4399/45/3|aisje||
10808/34/3|Grimmy||
12214/31/3|Programmatic||
19191/29/3|Grimmy||
20599/26/3|Grimmy||
23239/25/3|Grimmy|https://i.imgur.com/Jh6IIsv.mp4|SC,SA,AS,cSC,cSA,cAS
